customer_id,tenure_months,monthly_charges,total_charges,contract,internet_service,support_tickets,satisfaction_score,signup_date,currency,churn
CUST-00001,10,54.4,567.11,Two year,Fiber,1,5.0,2023-01-12,INR,0
CUST-00002,10,71.13,691.41,Month-to-month,No internet,5,,2021-08-05,INR,0
CUST-00003,57,50.35,2690.95,One year,Fiber,2,5.0,2024-03-17,INR,0
CUST-00004,36,71.07,2527.0,Month-to-month,Fiber,6,7.0,2022-09-26,INR,0
CUST-00005,42,30.29,1262.07,Two year,DSL,3,2.0,2023-04-13,INR,1
CUST-00006,43,94.28,4205.83,One year,No internet,2,4.0,2019-07-15,INR,1
CUST-00007,51,53.71,2916.1,One year,DSL,3,9.0,2021-02-21,INR,1
CUST-00008,3,30.21,87.05,Two year,Fiber,0,6.0,2022-07-05,INR,0
CUST-00009,35,60.08,2259.94,Month-to-month,Fiber,0,1.0,2020-12-09,INR,0
CUST-00010,11,56.84,654.84,One year,DSL,0,2.0,2023-03-31,INR,1
CUST-00011,29,68.35,2032.83,Month-to-month,DSL,1,5.0,2020-04-11,INR,0
CUST-00012,66,39.8,2656.89,One year,No internet,3,8.0,2019-11-28,INR,0
CUST-00013,39,73.74,3086.36,Month-to-month,DSL,0,3.0,2020-05-10,INR,1
CUST-00014,5,130.0,651.84,One year,DSL,1,9.0,2019-10-05,INR,1
CUST-00015,39,36.87,1418.09,Month-to-month,DSL,2,9.0,2019-04-18,INR,0
CUST-00016,10,72.43,727.62,Month-to-month,DSL,0,8.0,2019-07-22,INR,1
CUST-00017,54,58.16,3012.94,One year,DSL,0,8.0,2021-06-29,INR,0
CUST-00018,68,69.24,4776.97,One year,Fiber,2,8.0,2022-06-18,INR,1
CUST-00019,70,25.14,1754.74,One year,Fiber,1,4.0,2022-03-15,INR,0
CUST-00020,45,39.68,1804.06,Month-to-month,Fiber,1,2.0,2021-03-03,INR,0
CUST-00021,62,75.11,4709.1,One year,Fiber,2,,2023-09-06,INR,0
CUST-00022,27,64.15,1677.76,One year,No internet,2,10.0,2019-03-18,INR,1
CUST-00023,11,100.98,1155.11,One year,DSL,2,6.0,2021-01-16,INR,1
CUST-00024,37,49.49,1776.16,Month-to-month,DSL,1,6.0,2019-08-21,INR,1
CUST-00025,32,68.84,2262.51,Month-to-month,No internet,1,8.0,2021-08-08,INR,0
CUST-00026,48,129.09,5902.79,One year,Fiber,2,9.0,2020-12-27,INR,1
CUST-00027,71,48.16,3458.94,Month-to-month,No internet,4,10.0,2022-09-02,INR,0
CUST-00028,20,45.12,880.59,Two year,No internet,0,8.0,2019-04-15,INR,0
CUST-00029,61,64.23,3924.76,Month-to-month,Fiber,1,10.0,2023-04-10,INR,0
CUST-00030,10,64.02,627.97,Month-to-month,Fiber,2,9.0,2023-05-05,INR,0
CUST-00031,25,83.57,1953.34,Month-to-month,Fiber,0,10.0,2023-11-18,INR,0
CUST-00032,56,67.85,3674.24,Month-to-month,Fiber,2,9.0,2020-01-23,INR,0
CUST-00033,18,48.35,872.49,Two year,No internet,1,9.0,2021-01-12,INR,0
CUST-00034,48,69.65,3407.3,Two year,Fiber,2,8.0,2023-06-09,INR,0
CUST-00035,33,123.05,3883.53,Two year,No internet,0,5.0,2022-06-06,INR,1
CUST-00036,37,92.98,3222.51,One year,DSL,3,6.0,2019-03-12,INR,0
CUST-00037,67,18.0,1175.0,Two year,Fiber,1,1.0,2022-11-19,INR,0
CUST-00038,58,61.88,3567.93,Month-to-month,Fiber,2,,2020-11-06,INR,0
CUST-00039,60,45.75,2694.12,Month-to-month,DSL,2,2.0,2023-08-05,INR,0
CUST-00040,39,78.69,2995.79,Month-to-month,Fiber,1,3.0,2024-02-03,INR,0
CUST-00041,70,61.19,4394.58,Month-to-month,Fiber,0,,2021-05-15,INR,0
CUST-00042,70,107.52,7747.97,Two year,Fiber,1,10.0,2019-10-31,INR,0
CUST-00043,10,85.49,874.32,One year,DSL,2,6.0,2022-12-08,INR,1
CUST-00044,15,84.59,1233.73,Month-to-month,No internet,2,8.0,2019-03-15,INR,1
CUST-00045,22,69.1,1524.38,Month-to-month,Fiber,3,10.0,2021-10-07,INR,1
CUST-00046,40,64.11,2550.69,One year,No internet,3,3.0,2023-08-03,INR,0
CUST-00047,59,72.48,4095.17,One year,DSL,1,8.0,2019-05-14,INR,0
CUST-00048,35,93.5,3360.65,Month-to-month,Fiber,0,2.0,2023-05-13,INR,0
CUST-00049,70,76.76,5389.86,Month-to-month,No internet,0,2.0,2021-03-26,INR,0
CUST-00050,26,57.28,1468.3,Month-to-month,No internet,0,,2021-09-19,INR,1
CUST-00051,66,93.05,6405.3,Month-to-month,No internet,0,6.0,2021-08-10,INR,0
CUST-00052,43,69.23,3046.48,One year,DSL,0,1.0,2019-09-10,INR,1
